"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Atxn1",586.36860736023,-1.42917064124409,0.146443117750113,-9.75922025699289,1.68445311747113e-22,3.17890983183927e-20
"Gpt2",936.199810040074,-0.988804626694162,0.101508192831927,-9.74113122407157,2.0130084224757e-22,3.74390392545372e-20
"Hivep2",909.593078753408,-1.3017064193617,0.133714505346396,-9.73496791533235,2.13885181962311e-22,3.92112648588905e-20
"Nlrc3",34.2054380956807,1.88689984122286,0.194829690546104,9.68486802978494,3.49659815939534e-22,6.31997805345358e-20
"Impact",477.884924858181,0.944810776333192,0.0976401007969626,9.67646252534986,3.79624371373611e-22,6.76627716366326e-20
"Cyb5r3",1882.81450213508,0.76930566648069,0.079773137286951,9.64366819012557,5.228545853589e-22,9.19149711494624e-20
"C130026I21Rik",14.6292782929794,4.3317241640804,0.449332936239477,9.64034419629491,5.40065835458073e-22,9.2873706184448e-20
"Scn4b",1330.67019169573,1.75796337616612,0.182364578578216,9.63982912620353,5.42782511013294e-22,9.2873706184448e-20
"Sema5a",551.780076512395,-1.6248187250132,0.168700910725823,-9.63135716353006,5.89457330853577e-22,9.9532972721631e-20
"Emilin2",953.803780070046,-1.09228744031806,0.113440264789145,-9.6287455106732,6.04630984231736e-22,1.00769213255141e-19
"Aldob",659.93328556094,0.976491270982226,0.101610578918718,9.61013391886445,7.24546890941963e-22,1.19206541685362e-19
"Adamtsl5",1758.06803640281,0.587424320792373,0.0613698898896594,9.57186532106442,1.04993996471776e-21,1.70555437559784e-19
"Ppip5k1",2257.71191637965,0.719295414510987,0.075191266021244,9.56620964870791,1.10896939316713e-21,1.76217745019853e-19
"Fat1",756.279506735416,-1.06770223352571,0.111615413099306,-9.56590316586259,1.11226037143366e-21,1.76217745019853e-19
"Obsl1",1286.97576750607,-0.866125211980983,0.0906036781986063,-9.55949282856273,1.18335173434865e-21,1.85194546425563e-19
"Arhgap26",1274.93433419561,-0.788266785541759,0.0826264082922876,-9.54013131919395,1.42651564803634e-21,2.20559943509041e-19
"Dbt",1703.34874588298,-0.943431342153503,0.0989652123150749,-9.53295931048889,1.52862311596856e-21,2.33533576752673e-19
"Zhx3",384.300492344021,-1.01640266508868,0.106748725093073,-9.52145015504855,1.7077902046308e-21,2.57836137600318e-19
"BC029722",740.353948105387,0.477599438574489,0.0502604215516855,9.50249567810225,2.04919212648492e-21,3.05782355339313e-19
"Slc36a2",425.382037975673,-1.16876006845999,0.123063957296456,-9.49717605492321,2.15659238115777e-21,3.18109770429858e-19
"Rere",1454.5520706729,-0.875766530930709,0.0922363976685842,-9.49480414529454,2.20625725374979e-21,3.21737492470125e-19
"Cited2",834.020289177791,-0.977283011499455,0.103829056758557,-9.41242309242988,4.84828745405136e-21,6.99079470762259e-19
"Rapgef6",788.624964582285,-0.83720864097037,0.0890055596915412,-9.40625106871763,5.14148575203945e-21,7.33118740621359e-19
"Mbnl2",4512.16449813394,-0.654813660519587,0.0696817416788894,-9.39720570615369,5.60313129732879e-21,7.90164658666158e-19
"Cd36",57200.862469771,0.517176073803003,0.055152553801012,9.37719177372914,6.77531971646298e-21,9.45083455667059e-19
"Zfp36l1",1555.44304610466,-0.924729328147171,0.0988172008835691,-9.3579793788809,8.12761050962501e-21,1.12152285666686e-18
"Ncam1",105.609405954672,-1.22120637373611,0.130795604159049,-9.33675394970546,9.93327614878389e-21,1.35610354061004e-18
"Wnk4",418.599960956231,-1.66548214722838,0.178419450791103,-9.33464451237641,1.01330713305852e-20,1.36881794089895e-18
